period,part_svyid,group,awakening_christian_faith,overall_course,discovery_relevancy,discovery_recommend,la_vida_powerful_exp
2021 FA,16675096761,Core,5,5,NA,NA,NA
2021 FA,4145735081,Core,5,5,NA,NA,NA
2021 FA,22088774861,Core,4,5,NA,NA,NA
2021 FA,42019356261,Core,5,4,NA,NA,NA
2021 FA,21702400491,Core,5,5,NA,NA,NA
2021 FA,13292566221,Core,5,4,NA,NA,NA
2021 FA,16373417471,Core,5,5,NA,NA,NA
2021 FA,4827006871,Core,5,4,NA,NA,NA
2021 FA,22329422391,Core,5,5,NA,NA,NA
2021 FA,13877191471,Core,5,5,NA,NA,NA
2021 FA,6324125411,Core,5,4,NA,NA,NA
2021 FA,15506723451,Core,4,3,NA,NA,NA
2021 FA,13681960741,Core,5,5,NA,NA,NA
2021 FA,26711915191,Core,5,4,NA,NA,NA
2021 FA,1157178391,Core,4,4,NA,NA,NA
2021 FA,30741259951,Core,5,4,NA,NA,NA
2021 FA,8623111661,Core,5,5,NA,NA,NA
2021 FA,8929946281,Core,5,4,NA,NA,NA
2021 FA,2572019521,Core,5,5,NA,NA,NA
2021 FA,9764906501,Core,5,5,NA,NA,NA
2021 FA,30393233271,Core,5,5,NA,NA,NA
2021 FA,12895637821,Core,3,3,NA,NA,NA
2021 FA,36213923311,Core,5,4,NA,NA,NA
2021 FA,12651187341,Core,5,4,NA,NA,NA
2021 FA,2979396361,Core,4,4,NA,NA,NA
2021 FA,37486720281,Core,4,5,NA,NA,NA
2021 FA,21145392071,Core,5,5,NA,NA,NA
2021 FA,5705578441,Core,5,4,NA,NA,NA
2021 FA,37652959721,Core,4,4,NA,NA,NA
2021 FA,34703828211,Core,5,5,NA,NA,NA
2021 FA,13545808061,Core,5,5,NA,NA,NA
2021 FA,23726646131,Core,5,4,NA,NA,NA
2021 FA,2877925631,Core,5,5,NA,NA,NA
2021 FA,29046362711,Core,2,2,NA,NA,NA
2021 FA,20735255691,Core,5,4,NA,NA,NA
2021 FA,2107837031,Core,4,5,NA,NA,NA
2021 FA,34586848541,Core,4,4,NA,NA,NA
2021 FA,6765878411,Core,4,4,NA,NA,NA
2021 FA,32411679881,Core,4,5,NA,NA,NA
2021 FA,7704163891,Core,4,5,NA,NA,NA
2021 FA,42198051141,Core,5,5,NA,NA,NA
2021 FA,35566881891,Core,4,5,NA,NA,NA
2021 FA,33585179091,Core,5,5,NA,NA,NA
2021 FA,12515030041,Core,5,5,NA,NA,NA
2021 FA,21743037021,Core,4,5,NA,NA,NA
2021 FA,4255251481,Core,5,4,NA,NA,NA
2021 FA,3921477751,Core,5,5,NA,NA,NA
2021 FA,23023551001,Core,4,4,NA,NA,NA
2021 FA,21567515431,Core,4,4,NA,NA,NA
2021 FA,29229975581,Core,5,5,NA,NA,NA
2021 FA,11110622531,Core,3,4,NA,NA,NA
2021 FA,37052086051,Core,4,5,NA,NA,NA
2021 FA,40672262681,Core,5,5,NA,NA,NA
2021 FA,10207121051,Core,5,4,NA,NA,NA
2021 FA,18124900471,Core,4,5,NA,NA,NA
2021 FA,13928531731,Core,5,5,NA,NA,NA
2021 FA,33361699301,Core,4,4,NA,NA,NA
2021 FA,28953240521,Core,5,3,NA,NA,NA
2021 FA,36114216391,Core,5,5,NA,NA,NA
2021 FA,12742681621,Core,4,5,NA,NA,NA
2021 FA,23029883871,Core,5,5,NA,NA,NA
2021 FA,42377099921,Core,5,5,NA,NA,NA
2021 FA,4742010141,Core,5,5,NA,NA,NA
2021 FA,31252678461,Core,4,4,NA,NA,NA
2021 FA,40086153271,Core,5,4,NA,NA,NA
2021 FA,38813577481,Core,4,4,NA,NA,NA
2021 FA,32031325791,Core,5,5,NA,NA,NA
2021 FA,10271071721,Core,5,5,NA,NA,NA
2021 FA,41069303531,Core,5,5,NA,NA,NA
2021 FA,41625984791,Core,4,4,NA,NA,NA
2021 FA,22894844801,Core,5,5,NA,NA,NA
2021 FA,29879382121,Core,4,4,NA,NA,NA
