ID_NUM,YR_CDE,TRM_CDE,SUBTERM_CDE,STUD_SEQ_NUM,TRANSACTION_STS,CRS_CDE,ADV_REQ_CDE,CRS_TITLE,GRADE_CDE,ENTRY_DTE,ENTRY_YR,ENTRY_TRM,YR_LA_VIDA_TAKEN,PRE_POST_FY
9564100,2010,FA,1Q,5,H,PED  015  A3,PED015,DISCOVERY EXPEDITION FRESHMEN,P,2009-08-26T00:00:00Z,2009,FA,NA,NA
50072984,2011,FA,NA,1,H,PED  016  B,PED016,LAVIDA: AUGUST,P,2011-08-24T00:00:00Z,2011,FA,First,Before
50153833,2014,FA,NA,15,H,PED  016  E,PED016,LAVIDA WILDERNESS EXPERNCE-COMPASS,P,2014-08-27T00:00:00Z,2014,FA,First,Before
50148024,2012,SP,4Q,6,H,PED  015  D,PED015,DISCOVERY,P,2013-01-16T00:00:00Z,2012,SP,NA,NA
9552859,2011,FA,2Q,1,H,PED  015  F1,PED015,DISCOVERY - UPPERCLASS,P,2008-08-27T00:00:00Z,2008,FA,NA,NA
9566068,2012,SP,NA,5,H,PED  016  A,PED016,LAVIDA WILDERNESS EXPERIENCE MAY,P,2012-08-29T00:00:00Z,2012,FA,First,After
9566222,2010,FA,NA,9,H,PED  016  C,PED016,LAVIDA WILDERNESS EXP:JUN INCOMING,P,2010-08-25T00:00:00Z,2010,FA,First,Before
9575302,2010,SP,4Q,1,H,PED  015  B2,PED015,DISCOVERY EXPEDITION,P,2007-09-01T00:00:00Z,2007,FA,NA,NA
9571029,2010,SP,4Q,6,H,PED  015  B2,PED015,DISCOVERY EXPEDITION,F,2009-08-26T00:00:00Z,2009,FA,NA,NA
9571114,2010,FA,NA,1,H,PED  016  A,PED016,LAVIDA WILDERNESS EXP:AUG CURRENT,P,2006-09-01T00:00:00Z,2006,FA,Fifth,NA
9568340,2012,SP,4Q,2,H,PED  015  E,PED015,DISCOVERY,P,2012-08-29T00:00:00Z,2012,FA,NA,NA
9573702,2010,FA,1Q,4,H,PED  015  B3,PED015,DISCOVERY EXPEDITION FRESHMEN,P,2010-08-25T00:00:00Z,2010,FA,NA,NA
9577255,2011,FA,2Q,6,H,PED  015  F1,PED015,DISCOVERY - UPPERCLASS,P,2011-01-20T00:00:00Z,2010,SP,NA,NA
9577491,2011,FA,NA,5,H,PED  016  B,PED016,LAVIDA: AUGUST,P,2011-08-24T00:00:00Z,2011,FA,First,Before
9577541,2013,FA,NA,3,H,PED  016  A,PED016,LAVIDA WILDERNESS EXPERIENCE AUG,P,2013-08-28T00:00:00Z,2013,FA,First,Before
9577542,2014,FA,NA,5,H,PED  016  A,PED016,LAVIDA WILDERNESS EXPEDITION AUG,P,2014-08-27T00:00:00Z,2014,FA,First,Before
9577740,2012,SP,4Q,6,H,PED  015  E,PED015,DISCOVERY,P,2012-08-29T00:00:00Z,2012,FA,NA,NA
9573723,2011,FA,1Q,5,H,PED  015  B2,PED015,DISCOVERY,P,2011-08-24T00:00:00Z,2011,FA,NA,NA
9574079,2011,FA,2Q,2,H,PED  015  G1,PED015,DISCOVERY - UPPERCLASS,P,2011-01-20T00:00:00Z,2010,SP,NA,NA
9577791,2011,FA,1Q,7,H,PED  015  E1,PED015,DISCOVERY,P,2011-08-24T00:00:00Z,2011,FA,NA,NA
9577816,2010,FA,1Q,5,H,PED  015  B2,PED015,DISCOVERY EXPEDITION FRESHMEN,P,2010-08-25T00:00:00Z,2010,FA,NA,NA
9577818,2010,FA,NA,10,H,PED  016  B,PED016,LAVIDA WILDERNESS EXP:AUG INC,P,2010-08-25T00:00:00Z,2010,FA,First,Before
9574847,2011,FA,NA,7,H,PED  016  E,PED016,LAVIDA WILDERNESS EXPERIENCE JULY,P,2011-08-24T00:00:00Z,2011,FA,First,Before
9577820,2010,SP,NA,7,H,PED  016  A,PED016,LAVIDA WILDERNESS EXP MAY,P,2010-08-25T00:00:00Z,2010,FA,First,After
9577892,2011,SP,NA,7,H,PED  016  A,PED016,LAVIDA WILDERNESS EXP  MAY,P,2011-08-24T00:00:00Z,2011,FA,First,After
9577919,2012,FA,1Q,5,H,PED  015  C,PED015,DISCOVERY,P,2012-08-29T00:00:00Z,2012,FA,NA,NA
9575825,2010,FA,2Q,4,H,PED  015  J1,PED015,DISCOVERY EXPEDITION SO/JR/SR,F,2008-01-01T00:00:00Z,2007,SP,NA,NA
9575825,2011,FA,1Q,4,H,PED  015  E3,PED015,DISCOVERY,P,2008-01-01T00:00:00Z,2007,SP,NA,NA
9576466,2010,SP,4Q,8,H,PED  015  D1,PED015,DISCOVERY EXPEDITION,P,2007-09-01T00:00:00Z,2007,FA,NA,NA
9577623,2011,FA,1Q,5,H,PED  015  D2,PED015,DISCOVERY,P,2011-08-24T00:00:00Z,2011,FA,NA,NA
9573746,2013,SP,NA,7,H,PED  016  A,PED016,LAVIDA WILDERNESS EXPEDITION - MAY,P,2013-08-28T00:00:00Z,2013,FA,First,After
9577934,2010,FA,1Q,5,H,PED  015  B2,PED015,DISCOVERY EXPEDITION FRESHMEN,P,2010-08-25T00:00:00Z,2010,FA,NA,NA
9578994,2010,SP,NA,5,H,PED  016  A,PED016,LAVIDA WILDERNESS EXP MAY,P,2010-08-25T00:00:00Z,2010,FA,First,After
9577695,2014,FA,NA,5,H,PED  016  D,PED016,LAVIDA WILDERNESS EXPED: LATE JULY,P,2014-08-27T00:00:00Z,2014,FA,First,Before
9578995,2013,SP,NA,3,H,PED  016  A,PED016,LAVIDA WILDERNESS EXPEDITION MAY,P,2013-08-28T00:00:00Z,2013,FA,First,After
9577696,2010,FA,2Q,1,D,PED  015  G2,PED015,DISCOVERY EXPEDITION SO/JR/SR,NA,2007-09-01T00:00:00Z,2007,FA,NA,NA
9577696,2010,SP,4Q,6,H,PED  015  B2,PED015,DISCOVERY EXPEDITION,P,2007-09-01T00:00:00Z,2007,FA,NA,NA
9577943,2012,SP,NA,5,H,PED  016  A,PED016,LAVIDA WILDERNESS EXPERIENCE MAY,P,2013-01-16T00:00:00Z,2012,SP,First,After
9577967,2012,SP,NA,5,H,PED  016  A,PED016,LAVIDA WILDERNESS EXPERIENCE MAY,P,2012-08-29T00:00:00Z,2012,FA,First,After
9578390,2013,SP,NA,7,H,PED  016  A,PED016,LAVIDA WILDERNESS EXPEDITION - MAY,P,2013-08-28T00:00:00Z,2013,FA,First,After
9577977,2014,FA,1Q,4,H,PED  015  D,PED015,DISCOVERY,P,2014-08-27T00:00:00Z,2014,FA,NA,NA
9577978,2012,FA,1Q,5,H,PED  015  B,PED015,DISCOVERY,P,2012-08-29T00:00:00Z,2012,FA,NA,NA
9577991,2011,FA,1Q,4,H,PED  015  E3,PED015,DISCOVERY,P,2011-08-24T00:00:00Z,2011,FA,NA,NA
9579030,2010,FA,1Q,5,H,PED  015  A1,PED015,DISCOVERY EXPEDITION FRESHMEN,P,2010-01-13T00:00:00Z,2009,SP,NA,NA
9578502,2010,FA,1Q,7,H,PED  015  C2,PED015,DISCOVERY EXPEDITION FRESHMEN,P,2010-08-25T00:00:00Z,2010,FA,NA,NA
9578544,2013,FA,1Q,1,H,PED  015  B,PED015,DISCOVERY,P,2013-08-28T00:00:00Z,2013,FA,NA,NA
9578391,2012,FA,2Q,5,H,PED  015  F,PED015,DISCOVERY,P,2012-08-29T00:00:00Z,2012,FA,NA,NA
9579378,2010,SP,4Q,3,H,PED  015  D1,PED015,DISCOVERY EXPEDITION,P,2010-08-25T00:00:00Z,2010,FA,NA,NA
9577708,2012,SP,4Q,6,H,PED  015  B,PED015,DISCOVERY,P,2012-08-29T00:00:00Z,2012,FA,NA,NA
9577717,2012,FA,NA,1,H,PED  016  B,PED016,LAVIDA WILDERNESS EXPERIENCE JUNE,P,2012-08-29T00:00:00Z,2012,FA,First,Before
9573918,2010,FA,NA,10,H,PED  016  B,PED016,LAVIDA WILDERNESS EXP:AUG INC,P,2010-08-25T00:00:00Z,2010,FA,First,Before
9577718,2013,FA,1Q,1,H,PED  015  A,PED015,DISCOVERY,P,2013-08-28T00:00:00Z,2013,FA,NA,NA
