id_num,Term,Tuition,Fee,Room,Meal,All_Charges,Gordon_Gift,Gordon_Unfunded_Gift,Gordon_Funded_Gift,Loans,Total_Gift,TR,Tot_aid,TF_Net_price,Tot_Net_price,Remain_All_Aid_Applied,Current_Balance
50217201,FA2021 ,12625,500,4580,2110,19815,6275,6275,0,15250,7775,0,23025,5350,12040,-3210,0
50217201,FA2022 ,13005,515,4810,2220,20550,6275,6275,0,14750,6275,0,21025,7245,14275,-475,0
50217201,SP2021 ,12625,500,4580,2110,19815,6275,6275,0,15250,6275,0,21525,6850,13540,-1710,0
50118129,FA2021 ,12625,500,4050,2550,19725,6825,5325,1500,3750,8325,0,12075,4800,11400,7650,0
50118129,FA2022 ,13005,515,5080,1140,19740,8325,5825,2500,3750,10752,0,14502,2768,8988,5238,0
50118129,SP2021 ,12625,6350,6350,NULL,18975,6825,5325,1500,3750,6825,0,10575,12150,12150,8400,0
50118129,SP2022 ,13005,515,5080,1140,19740,8325,5825,2500,3750,10753,0,14503,2767,8987,5237,0
50233705,FA2024 ,14750,600,4200,2450,22000,5500,5500,0,2750,5500,0,8250,9850,16500,13750,679
50233705,SP2024 ,14750,600,4200,2450,22000,5500,5500,0,2750,5500,0,8250,9850,16500,13750,679
50226246,FA2022 ,13005,515,3855,2220,19595,5550,5550,0,10000,8998,0,18998,4522,10597,597,0
50226703,FA2022 ,13005,515,3855,2220,19595,6500,6500,0,2750,6500,0,9250,7020,13095,10345,0
50226703,FA2023 ,13500,550,5150,2325,21525,6500,6500,0,3250,6500,0,9750,7550,15025,11775,0
50226703,FA2024 ,14750,600,5410,2450,23210,6500,6500,0,13691,6500,0,20191,8850,16710,3019,0
50226703,SP2022 ,13005,515,3855,2220,19595,6500,6500,0,2750,6500,0,9250,7020,13095,10345,0
50226703,SP2023 ,13500,550,5150,2325,21525,6500,6500,0,3250,6500,0,9750,7550,15025,11775,0
50226703,SP2024 ,14750,600,5410,2450,23210,6500,6500,0,13692,6500,0,20192,8850,16710,3018,0
50228940,FA2023 ,13500,550,4000,2325,20375,13500,8000,5500,NULL,13500,0,13500,550,6875,6875,13793.6
50228940,FA2024 ,14750,600,4200,2450,22000,14000,8000,6000,NULL,14000,0,14000,1350,8000,8000,13793.6
50228940,SP2023 ,13500,550,4000,2325,20375,12500,8000,4500,NULL,12500,0,12500,1550,7875,7875,13793.6
50228940,SP2024 ,14750,600,4200,2450,22000,14000,8000,6000,NULL,14000,0,14000,1350,8000,8000,13793.6
50230319,FA2023 ,12500,4300,4300,NULL,16800,0,0,0,NULL,0,0,0,16800,16800,16800,0
50224392,FA2022 ,13005,515,4260,2220,20000,5750,5750,0,2750,5750,0,8500,7770,14250,11500,631.48
50224392,FA2023 ,13500,550,5150,2325,21525,5750,5750,0,13052,5750,0,18802,8300,15775,2723,631.48
50224392,FA2024 ,14750,600,NULL,NULL,15350,3967,3967,0,10537,5830,0,16367,9520,9520,-1017,631.48
50224392,SP2022 ,13005,515,4260,2220,20000,5750,5750,0,2750,5750,0,8500,7770,14250,11500,631.48
